NN	Ranking	Expected	Observed	MI
Frage	3	83.82	461	2.46
Dienst	37	14.29	79	2.47
Wahl	59	33.25	54	0.7
Entscheidung	114	41.64	38	-0.13
Zusammenhang	157	18.5	34	0.88
Diskussion	177	25.8	31	0.26
Rede	208	26.57	29	0.13
Kontrolle	237	15.55	26	0.74
Schutz	256	17.47	25	0.52
Verfügung	273	21.93	24	0.13
Debatte	297	21.93	22	0.0
Anklage	776	9.44	10	0.08
Auswahl	783	6.3	10	0.67
Abstimmung	993	7.99	8	0.0
Rechnung	1075	7.36	8	0.12
Strafe	1471	7.37	6	-0.3
Aussicht	1569	6.72	5	-0.43
Verhandlung	1829	3.89	5	0.36
