No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
1	Frage	2862	15.903	364	348
5	Fragen	1256	6.979	160	145
7	Aussicht	198	1.1	61	60
20	Beweis	227	1.261	31	31
32	Wahl	1504	8.357	24	23
49	Rede	1001	5.562	18	18
54	Dienst	421	2.339	16	16
57	Rechnung	193	1.072	16	16
63	Debatte	964	5.357	15	15
83	Strafe	267	1.484	13	13
89	Diskussion	1136	6.312	12	12
104	Abstimmung	321	1.784	10	9
117	Schutz	568	3.156	10	8
187	Kontrolle	594	3.301	7	7
201	Zusammenhang	497	2.762	7	7
202	Abrede	8	0.045	6	6
249	Wahlen	789	4.384	6	6
251	Anklage	371	2.062	5	5
260	Beweisanträge	7	0.039	5	5
264	Entscheidung	1323	7.352	5	5
