There are 11,466 different words in the collocation database for this query (Query "{stellen/V}", restricted to texts meeting criteria "<em>Year</em>: <em>2011</em>",  returned 4,993 matches in 3,896 different texts)  
__________________

No.	Word	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts

1	Frage	2862	15.903	364	348
2	„	103897	577.324	264	255
3	“	104992	583.408	239	232
4	Verfügung	616	3.423	194	188
5	Fragen	1256	6.979	160	145
6	Gericht	1359	7.552	73	69
7	Aussicht	198	1.1	61	60
8	–	31915	177.342	55	55
9	Beine	190	1.056	50	49
10	Weichen	84	0.467	49	47
11	Euro	7656	42.542	48	45
12	Polizei	3507	19.487	47	46
13	Antrag	491	2.728	46	43
14	Seite	1654	9.191	41	41
15	Forderungen	544	3.023	37	35
16	Kopf	1083	6.018	37	35
17	Grünen	3256	18.093	34	32
18	Internet	1346	7.479	33	32
19	Prozent	7403	41.136	33	31
20	Beweis	227	1.261	31	31
21	Netz	988	5.49	31	31
22	Jahre	5974	33.196	30	30
23	Menschen	7985	44.37	29	29
24	Regierung	4213	23.41	29	28
25	Film	2771	15.398	28	27
26	Millionen	4245	23.588	28	28
27	Buch	1677	9.319	27	27
28	Jahr	6652	36.963	26	26
29	online	217	1.206	26	26
30	Jahren	8752	48.632	24	24
31	Land	4182	23.238	24	24
32	Wahl	1504	8.357	24	23
33	Weg	2081	11.564	23	23
34	Welt	4181	23.233	23	22
35	Ende	4865	27.033	22	22
36	Mittwoch	2007	11.152	22	22
37	Frauen	3700	20.56	21	21
38	Mittelpunkt	224	1.245	21	21
39	Montag	2251	12.508	21	20
40	Ministerpräsidenten	364	2.023	20	17
41	Schatten	252	1.4	20	19
42	Schau	260	1.445	20	20
43	Senat	1212	6.735	20	19
44	Dienstag	1943	10.797	19	19
45	Strafanzeige	68	0.378	19	18
46	Uhr	5413	30.078	19	19
47	sonntaz-Frage	23	0.128	19	19
48	Freitag	2092	11.625	18	17
49	Rede	1001	5.562	18	18
50	Zeit	4520	25.116	18	18
51	Mann	3381	18.787	17	17
52	Raum	1093	6.074	17	17
53	Anfrage	310	1.723	16	15
54	Dienst	421	2.339	16	16
55	Mehrheit	1051	5.84	16	15
56	März	1954	10.858	16	16
57	Rechnung	193	1.072	16	16
58	Staatsanwaltschaft	945	5.251	16	16
59	Teil	2317	12.875	16	16
60	Woche	2471	13.731	16	16
61	Anfang	1856	10.313	15	14
62	Anträge	176	0.978	15	14
63	Debatte	964	5.357	15	15
64	Dienstagnachmittag	41	0.228	15	15
65	Donnerstag	1836	10.202	15	15
66	Gesellschaft	1839	10.219	15	14
67	Journalisten	1044	5.801	15	14
68	Stadt	3959	21.999	15	15
69	Zukunft	1683	9.352	15	15
70	infrage	231	1.284	15	14
71	Bevölkerung	1344	7.468	14	14
72	Frau	3394	18.859	14	13
73	Geld	3084	17.137	14	14
74	Mitte	1652	9.18	14	14
75	Pranger	35	0.195	14	14
76	Problem	1574	8.746	14	14
77	Bürgermeister	902	5.012	13	13
78	Dezember	1021	5.673	13	13
79	Leben	3634	20.193	13	13
80	Leute	2398	13.325	13	12
81	Länder	1217	6.763	13	10
82	Mittelteil	19	0.106	13	13
83	Strafe	267	1.484	13	13
84	Verfahren	886	4.923	13	13
85	Amt	987	5.485	12	12
86	Asylantrag	41	0.228	12	11
87	Bedingungen	431	2.395	12	11
88	Behörden	1023	5.685	12	12
89	Diskussion	1136	6.312	12	12
90	Fall	2502	13.903	12	12
91	Generalverdacht	25	0.139	12	12
92	Initiative	807	4.484	12	12
93	Kinder	3227	17.931	12	12
94	Konzept	629	3.495	12	12
95	Linkspartei	899	4.996	12	11
96	Mal	2173	12.075	12	12
97	Medien	1509	8.385	12	12
98	Probe	56	0.311	12	12
99	Prüfstand	45	0.25	12	12
100	Regisseur	729	4.051	12	11
101	Reihe	705	3.918	12	11
102	Soldaten	1119	6.218	12	12
103	Vordergrund	160	0.889	12	12
104	Abstimmung	321	1.784	10	9
105	Art	1750	9.724	10	10
106	Bilder	1065	5.918	10	10
107	Bund	882	4.901	10	10
108	Es	13213	73.421	10	10
109	Februar	1661	9.23	10	10
110	Geschichte	2522	14.014	10	10
111	Gruppe	1222	6.79	10	9
112	Minister	736	4.09	10	10
113	Ministerpräsident	811	4.507	10	10
114	Männer	2028	11.269	10	10
115	Partei	2879	15.998	10	10
116	Programm	856	4.757	10	10
117	Schutz	568	3.156	10	8
118	Spitze	466	2.589	10	10
119	Thema	2219	12.33	10	10
120	Wohnung	662	3.679	10	9
121	Anforderungen	141	0.784	9	9
122	Anzeige	234	1.3	9	9
123	Autor	698	3.879	9	9
124	Bild	1469	8.163	9	9
125	Bremer	1476	8.202	9	9
126	Demonstranten	1416	7.868	9	9
127	Denkmalschutz	48	0.267	9	8
128	Dienstagmittag	17	0.095	9	9
129	Füße	106	0.589	9	9
130	Grundlage	349	1.939	9	9
131	Grüne	1186	6.59	9	9
132	Juni	1437	7.985	9	9
133	Künstler	1048	5.823	9	9
134	Landesregierung	505	2.806	9	9
135	Mai	2262	12.569	9	9
136	Mannschaft	536	2.978	9	9
137	Milliarden	2023	11.241	9	9
138	November	860	4.779	9	9
139	Ort	1470	8.168	9	9
140	Plan	568	3.156	9	9
141	Platz	2117	11.764	9	9
142	Politik	2332	12.958	9	9
143	Seiten	1164	6.468	9	9
144	September	1090	6.057	9	9
145	Strafantrag	17	0.095	9	8
146	Straße	1882	10.458	9	9
147	Tag	2860	15.892	9	9
148	Trainer	784	4.356	9	9
149	Unternehmen	1924	10.691	9	9
150	Verträge	367	2.039	9	9
151	Zentrum	653	3.629	9	9
152	Angaben	1503	8.352	8	8
153	Antwort	708	3.934	8	8
154	April	1715	9.53	8	8
155	Aufgaben	246	1.367	8	8
156	Bericht	815	4.529	8	7
157	Drogen	252	1.4	8	8
158	Eltern	1485	8.252	8	8
159	Gefahr	754	4.19	8	8
160	Haus	2030	11.28	8	8
161	Hausarrest	45	0.25	8	8
162	Lage	1207	6.707	8	8
163	Landes	1333	7.407	8	8
164	Mitarbeiter	1155	6.418	8	8
165	Projekt	1203	6.685	8	8
166	Regime	881	4.895	8	8
167	SEITE	1622	9.013	8	8
168	Sprecher	1568	8.713	8	8
169	Täter	584	3.245	8	8
170	Ultimatum	25	0.139	8	7
171	+++	1925	10.697	7	7
172	Ansprüche	103	0.572	7	7
173	Basis	459	2.551	7	7
174	Beispiel	2176	12.091	7	7
175	Betreiber	393	2.184	7	7
176	Betrieb	542	3.012	7	6
177	Bundeswehr	607	3.373	7	7
178	Bühne	833	4.629	7	6
179	Ecke	302	1.678	7	5
180	Fraktion	411	2.284	7	7
181	Idee	1130	6.279	7	7
182	Insolvenzantrag	15	0.083	7	7
183	Inszenierung	301	1.673	7	7
184	Januar	1503	8.352	7	7
185	Kampagne	318	1.767	7	7
186	Kollegen	809	4.495	7	7
187	Kontrolle	594	3.301	7	7
188	Landtag	514	2.856	7	7
189	Linke	1083	6.018	7	7
190	Pläne	482	2.678	7	7
191	Projekte	450	2.501	7	7
192	Punkt	494	2.745	7	7
193	Realität	416	2.312	7	7
194	Recht	1183	6.574	7	7
195	Richter	878	4.879	7	6
196	Samstag	1948	10.824	7	7
197	Situation	1102	6.124	7	7
198	Sprecherin	720	4.001	7	7
199	Stufe	126	0.7	7	7
200	Vorsitzende	517	2.873	7	7
201	Zusammenhang	497	2.762	7	7
202	Abrede	8	0.045	6	6
203	Abseits	48	0.267	6	6
204	Album	472	2.623	6	6
205	Arbeit	2433	13.519	6	6
206	Band	788	4.379	6	6
207	Berliner	3500	19.448	6	6
208	Besuch	523	2.906	6	6
209	Bruder	371	2.062	6	6
210	Bundesregierung	1224	6.801	6	6
211	Bürger	1233	6.851	6	6
212	Demokratie	1189	6.607	6	6
213	Dinge	783	4.351	6	5
