There are 180,350 different words in the collocation database for this query (Query "{stellen/V}" (case-sensitive) returned 249,044 matches in 197,633 different texts)  
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts

1	.	20700192	113287.499	138594	118010
2	,	24103677	131914.007	121518	92955
3	die	11800442	64581.167	83201	68538
4	der	11967661	65496.319	55437	47883
5	sich	2994065	16385.845	47470	43102
6	in	6372016	34872.612	43628	39428
7	und	8124470	44463.398	42416	38518
8	den	4470049	24463.574	30981	28543
9	“	5467535	29922.59	29052	27306
10	zu	3594151	19669.981	28629	26379
11	„	5451091	29832.596	24831	23334
12	zur	703066	3847.722	21113	19938
13	auf	2629353	14389.858	20667	19545
14	Frage	153161	838.216	19349	17991
15	:	3215448	17597.424	18620	17903
16	vor	1082176	5922.506	18559	17503
17	das	3455344	18910.321	18506	17513
18	Die	2531177	13852.563	17541	16999
19	eine	2204785	12066.293	14898	14326
20	nicht	3016755	16510.022	14819	14141
21	ein	2417041	13227.922	14561	13894
22	sie	1672894	9155.373	13835	12833
23	Verfügung	40075	219.322	13320	12645
24	für	2658877	14551.436	12735	12274
25	fest	61516	336.663	12123	11563
26	von	3588622	19639.722	11992	11565
27	werden	1373487	7516.786	11660	11244
28	des	2484250	13595.742	11185	10789
29	er	1449854	7934.725	10950	10314
30	einen	1003147	5489.998	10575	10126
31	im	2524945	13818.457	10089	9794
32	mit	3052899	16707.83	9817	9580
33	dem	2401564	13143.22	9193	8881
34	ist	3110610	17023.67	8987	8719
35	unter	462381	2530.507	8873	8469
36	als	1874406	10258.203	8845	8614
37	an	1668737	9132.623	8835	8561
38	auch	1822667	9975.047	8636	8447
39	Der	1256758	6877.954	7700	7568
40	es	2022858	11070.647	7109	6920
41	Das	1144944	6266.021	6839	6751
42	Sie	654037	3579.398	6485	5959
43	wird	1179128	6453.103	6369	6216
44	hat	1525857	8350.672	6293	6130
45	nach	1232953	6747.675	6244	6079
46	–	1485461	8129.594	6216	5935
47	dass	881483	4824.158	5976	5772
48	Fragen	68475	374.748	5950	5494
49	aus	1533233	8391.04	5643	5475
50	)	1628769	8913.887	5390	5295
51	so	1093026	5981.886	5375	5267
52	daß	769328	4210.359	5369	5208
53	man	851130	4658.043	5302	4999
54	?	959064	5248.742	4984	4756
55	einer	1180947	6463.058	4943	4862
56	aber	894715	4896.574	4928	4864
57	(	1622632	8880.3	4886	4784
58	am	1098110	6009.709	4808	4724
59	gegen	678732	3714.548	4613	4447
60	noch	1168220	6393.406	4556	4494
61	ihre	496697	2718.311	4493	4388
62	nur	1028245	5627.354	4452	4379
63	wie	1251094	6846.956	4313	4242
64	bei	1074551	5880.776	4174	4102
65	haben	1005169	5501.064	4137	4037
66	In	650558	3560.358	4113	4079
67	wir	531471	2908.621	3878	3551
68	ich	638821	3496.124	3739	3320
69	heraus	35783	195.832	3651	3581
70	klar	73918	404.537	3632	3544
71	seine	443434	2426.815	3576	3489
72	-	1038583	5683.931	3575	3459
73	um	1110540	6077.736	3553	3508
74	sind	1179765	6456.589	3534	3474
75	dann	484619	2652.211	3459	3409
76	Antrag	32193	176.185	3429	3205
77	dar	13881	75.968	3428	3356
78	Aussicht	12282	67.217	3424	3352
79	hatte	591167	3235.324	3401	3333
80	gestern	331951	1816.693	3390	3355
81	sein	660377	3614.095	3344	3286
82	zum	915791	5011.918	3341	3303
83	wurde	578434	3165.639	3335	3260
84	einem	980724	5367.282	3312	3268
85	Und	562217	3076.887	3241	3190
86	oder	785623	4299.538	3234	3150
87	mehr	755300	4133.587	3199	3134
88	diese	364218	1993.283	3165	3119
89	über	1019967	5582.05	3143	3076
90	Es	528091	2890.123	3000	2967
91	uns	279154	1527.747	2975	2791
92	wieder	474612	2597.445	2975	2909
93	worden	330783	1810.301	2964	2924
94	Er	352321	1928.174	2884	2837
95	keine	418420	2289.919	2854	2779
96	ins	229391	1255.405	2809	2697
97	war	934053	5111.862	2726	2693
98	Gericht	66600	364.487	2660	2478
99	selbst	309116	1691.722	2561	2519
100	Wir	317396	1737.037	2512	2423
101	Im	339019	1855.375	2442	2416
102	neue	258131	1412.693	2423	2373
103	Beweis	12575	68.82	2420	2381
104	jetzt	334270	1829.385	2397	2375
105	immer	461962	2528.214	2380	2344
106	ihr	306595	1677.926	2330	2268
107	hinter	89517	489.906	2295	2231
108	kann	543704	2975.57	2293	2264
109	schon	548742	3003.142	2274	2241
110	Seite	100657	550.873	2266	2211
111	Ich	379012	2074.248	2237	2132
