No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
3	Frage	153161	83.822	461	461
5	Fragen	68475	37.475	348	348
37	Dienst	26114	14.292	79	79
59	Wahl	60754	33.249	54	54
114	Entscheidung	76083	41.639	38	38
157	Zusammenhang	33800	18.498	34	34
177	Diskussion	47141	25.799	31	31
208	Rede	48547	26.569	29	29
237	Kontrolle	28414	15.55	26	26
256	Schutz	31916	17.467	25	25
262	Wahlen	39290	21.503	25	25
289	Verhandlungen	45627	24.971	23	23
297	Debatte	40075	21.932	22	22
321	Entscheidungen	18798	10.288	21	21
350	Wahlkampf	25790	14.114	20	20
776	Anklage	17253	9.442	10	10
783	Auswahl	11508	6.298	10	10
797	Diskussionen	12441	6.809	10	10
993	Abstimmung	14604	7.992	8	8
1020	Debatten	7557	4.136	8	8
1075	Rechnung	13451	7.361	8	8
1328	Beweise	6738	3.688	6	6
1471	Strafe	13471	7.372	6	6
1569	Aussicht	12282	6.722	5	5
1745	Reden	9091	4.975	5	5
1829	Verhandlung	7105	3.888	5	4
1846	Wahlspots	230	0.126	5	5
